Lugar,Magnitud,Profundidad_km,Latitud,Longitud,Alerta,Tsunami,Anio,Mes,Dia,Hora,lat_grid,lon_grid,cuadrante,Fecha
"8 km W of Argelès-Gazost, France",3.7,2.0,43.0,-0.2,0,0,1998,2,3,18,43,-1,"43,-1",1998-02-03
"9 km W of Cauterets, France",3.6,0.0,42.89,-0.23,0,0,1998,1,31,20,42,-1,"42,-1",1998-01-31
"3 km SSW of Pampaneira, Spain",4.1,10.0,36.909,-3.369,0,0,1997,12,19,15,36,-4,"36,-4",1997-12-19
"2 km SW of Gan, France",3.6,5.0,43.213,-0.405,0,0,1997,12,17,17,43,-1,"43,-1",1997-12-17
"20 km SW of Lardjem, Algeria",3.9,10.0,35.609,1.396,0,0,1997,12,5,16,35,1,"35,1",1997-12-05
"8 km SE of Amou, France",4.1,5.0,43.541,-0.675,0,0,1997,12,4,22,43,-1,"43,-1",1997-12-04
"9 km NNE of Aïn el Bya, Algeria",4.3,10.0,35.882,-0.252,0,0,1997,12,1,22,35,-1,"35,-1",1997-12-01
"0 km NNE of Pézilla-la-Rivière, France",3.5,10.0,42.702,2.773,0,0,1997,11,22,12,42,2,"42,2",1997-11-22
"6 km SSW of Becerreá, Spain",3.7,10.0,42.796,-7.186,0,0,1997,11,18,18,42,-8,"42,-8",1997-11-18
"29 km ENE of Sidi Akkacha, Algeria",3.8,10.0,36.589,1.598,0,0,1997,11,15,13,36,1,"36,1",1997-11-15
"0 km W of Igualeja, Spain",3.5,33.0,36.632,-5.127,0,0,1997,11,12,5,36,-6,"36,-6",1997-11-12
"6 km E of Librilla, Spain",3.5,10.0,37.882,-1.286,0,0,1997,11,10,17,37,-2,"37,-2",1997-11-10
"77 km NNW of Melilla, Spain",4.1,10.0,35.971,-3.146,0,0,1997,10,13,21,35,-4,"35,-4",1997-10-13
"98 km NNW of Malpica, Spain",4.1,10.0,44.168,-9.172,0,0,1997,10,9,18,44,-10,"44,-10",1997-10-09
"9 km SSW of Castro, Spain",3.9,10.0,42.686,-7.62,0,0,1997,10,6,14,42,-8,"42,-8",1997-10-06
"7 km W of Casares, Spain",3.5,10.0,36.453,-5.365,0,0,1997,9,25,18,36,-6,"36,-6",1997-09-25
"9 km SSW of La Seu d'Urgell, Spain",3.5,10.0,42.28,1.419,0,0,1997,9,22,6,42,1,"42,1",1997-09-22
"24 km WNW of Sines, Portugal",3.7,10.0,38.068,-9.105,0,0,1997,9,4,7,38,-10,"38,-10",1997-09-04
"5 km WSW of Aizarnazabal, Spain",3.9,10.0,43.236,-2.293,0,0,1997,8,30,4,43,-3,"43,-3",1997-08-30
"4 km E of Mendaro, Spain",4.2,10.0,43.247,-2.33,0,0,1997,8,30,4,43,-3,"43,-3",1997-08-30
"4 km NNE of Pedro Abad, Spain",3.9,10.0,38.003,-4.444,0,0,1997,8,25,6,38,-5,"38,-5",1997-08-25
"20 km SE of Marbella, Spain",4.1,97.4,36.381,-4.737,0,0,1997,8,20,2,36,-5,"36,-5",1997-08-20
"35 km S of Castell de Ferro, Spain",3.8,10.0,36.413,-3.279,0,0,1997,8,8,19,36,-4,"36,-4",1997-08-08
"1 km E of Villemolaque, France",3.7,10.0,42.589,2.861,0,0,1997,8,7,20,42,2,"42,2",1997-08-07
"36 km SSE of Castell de Ferro, Spain",3.9,10.0,36.43,-3.168,0,0,1997,8,7,19,36,-4,"36,-4",1997-08-07
"3 km ESE of Sidi Aïssa, Algeria",4.1,10.0,35.875,3.803,0,0,1997,7,20,14,35,3,"35,3",1997-07-20
"9 km NNE of Ammi Moussa, Algeria",4.7,10.0,35.944,1.167,0,0,1997,7,14,15,35,1,"35,1",1997-07-14
"11 km SSE of Castell de Ferro, Spain",4.5,33.0,36.635,-3.287,0,0,1997,7,3,20,36,-4,"36,-4",1997-07-03
"34 km SSE of Castell de Ferro, Spain",4.0,10.0,36.445,-3.18,0,0,1997,7,2,17,36,-4,"36,-4",1997-07-02
"39 km SSE of Castell de Ferro, Spain",4.0,10.0,36.383,-3.224,0,0,1997,7,2,12,36,-4,"36,-4",1997-07-02
"34 km SSW of Adra, Spain",4.6,10.0,36.443,-3.104,0,0,1997,7,2,9,36,-4,"36,-4",1997-07-02
"5 km W of Vielha, Spain",4.0,10.0,42.707,0.726,0,0,1997,7,2,3,42,0,"42,0",1997-07-02
"5 km NNE of Becerreá, Spain",3.6,10.0,42.906,-7.146,0,0,1997,6,28,4,42,-8,"42,-8",1997-06-28
"6 km ENE of Sarria, Spain",3.5,10.0,42.803,-7.339,0,0,1997,6,28,4,42,-8,"42,-8",1997-06-28
"10 km S of Quillan, France",3.8,10.0,42.78,2.16,0,0,1997,6,5,20,42,2,"42,2",1997-06-05
"7 km NE of Samos, Spain",3.6,10.0,42.789,-7.271,0,0,1997,5,30,1,42,-8,"42,-8",1997-05-30
"7 km NE of Samos, Spain",3.6,10.0,42.789,-7.271,0,0,1997,5,29,1,42,-8,"42,-8",1997-05-29
"10 km ENE of O Páramo, Spain",3.8,10.0,43.001,-7.192,0,0,1997,5,25,17,43,-8,"43,-8",1997-05-25
"3 km NNW of San Román, Spain",4.7,10.0,42.897,-7.071,0,0,1997,5,23,18,42,-8,"42,-8",1997-05-23
"6 km NNW of San Román, Spain",3.5,10.0,42.923,-7.091,0,0,1997,5,23,0,42,-8,"42,-8",1997-05-23
"4 km NE of Baralla, Spain",4.1,10.0,42.922,-7.217,0,0,1997,5,23,0,42,-8,"42,-8",1997-05-23
"8 km ENE of Pola de Allande, Spain",3.5,10.0,43.307,-6.526,0,0,1997,5,22,17,43,-7,"43,-7",1997-05-22
"8 km SW of Cudillero, Spain",3.8,10.0,43.515,-6.235,0,0,1997,5,22,14,43,-7,"43,-7",1997-05-22
"4 km N of Becerreá, Spain",4.1,10.0,42.894,-7.166,0,0,1997,5,22,5,42,-8,"42,-8",1997-05-22
"3 km NE of Becerreá, Spain",3.6,10.0,42.882,-7.139,0,0,1997,5,22,3,42,-8,"42,-8",1997-05-22
"3 km SW of Cudillero, Spain",3.5,10.0,43.535,-6.175,0,0,1997,5,22,3,43,-7,"43,-7",1997-05-22
"12 km ENE of O Páramo, Spain",4.1,10.0,42.996,-7.154,0,0,1997,5,22,1,42,-8,"42,-8",1997-05-22
"0 km E of Becerreá, Spain",5.1,16.5,42.856,-7.16,0,0,1997,5,22,0,42,-8,"42,-8",1997-05-22
"6 km S of Soto del Barco, Spain",3.8,10.0,43.478,-6.062,0,0,1997,5,22,0,43,-7,"43,-7",1997-05-22
"0 km NE of Salas, Spain",3.7,10.0,43.419,-6.253,0,0,1997,5,22,0,43,-7,"43,-7",1997-05-22
"10 km WNW of Navia de Suarna, Spain",4.5,10.0,43.002,-7.123,0,0,1997,5,22,0,43,-8,"43,-8",1997-05-22
"3 km NW of Becerreá, Spain",5.4,18.8,42.881,-7.193,0,0,1997,5,21,23,42,-8,"42,-8",1997-05-21
"5 km NE of Becerreá, Spain",5.3,18.7,42.895,-7.128,0,0,1997,5,21,23,42,-8,"42,-8",1997-05-21
"1 km WNW of Las Torres de Cotillas, Spain",3.7,10.0,38.031,-1.256,0,0,1997,5,18,13,38,-2,"38,-2",1997-05-18
"5 km N of Huétor-Tájar, Spain",4.0,33.0,37.245,-4.038,0,0,1997,5,9,4,37,-5,"37,-5",1997-05-09
"65 km NNE of Cariño, Spain",3.6,10.0,44.318,-7.7,0,0,1997,5,6,19,44,-8,"44,-8",1997-05-06
"62 km NNE of Cariño, Spain",3.9,10.0,44.275,-7.611,0,0,1997,5,6,19,44,-8,"44,-8",1997-05-06
"38 km SSE of Fuzeta, Portugal",3.9,55.7,36.729,-7.591,0,0,1997,5,1,13,36,-8,"36,-8",1997-05-01
"5 km NE of Alfarnatejo, Spain",3.6,5.0,37.033,-4.222,0,0,1997,4,17,18,37,-5,"37,-5",1997-04-17
"78 km NNW of Melilla, Spain",3.7,10.0,35.961,-3.217,0,0,1997,4,12,11,35,-4,"35,-4",1997-04-12
"96 km WSW of Cadiz, Spain",3.5,70.0,36.069,-7.209,0,0,1997,4,11,8,36,-8,"36,-8",1997-04-11
"6 km SE of Villanueva de Tapia, Spain",3.7,33.0,37.14,-4.278,0,0,1997,3,18,3,37,-5,"37,-5",1997-03-18
"66 km NW of Peniche, Portugal",3.9,10.0,39.807,-9.896,0,0,1997,3,7,21,39,-10,"39,-10",1997-03-07
"2 km WNW of Ventas de Huelma, Spain",4.4,10.0,37.076,-3.846,0,0,1997,2,24,7,37,-4,"37,-4",1997-02-24
"6 km NW of Mauléon-Licharre, France",3.7,10.0,43.258,-0.95,0,0,1997,2,18,0,43,-1,"43,-1",1997-02-18
"11 km NW of Ria-Sirach, France",3.5,10.0,42.683,2.292,0,0,1997,2,12,8,42,2,"42,2",1997-02-12
"24 km NNW of El Abadia, Algeria",3.5,10.0,36.48,1.592,0,0,1997,2,6,12,36,1,"36,1",1997-02-06
"4 km WSW of Capvern, France",3.9,10.0,43.086,0.266,0,0,1997,2,4,15,43,0,"43,0",1997-02-04
"6 km S of Becerreá, Spain",3.5,20.0,42.797,-7.162,0,0,1997,2,4,13,42,-8,"42,-8",1997-02-04
"5 km NE of Baralla, Spain",4.2,21.6,42.927,-7.202,0,0,1997,2,4,13,42,-8,"42,-8",1997-02-04
"6 km NE of Baralla, Spain",4.1,22.7,42.924,-7.194,0,0,1997,2,3,22,42,-8,"42,-8",1997-02-03
"6 km SSW of Becerreá, Spain",3.9,10.0,42.799,-7.199,0,0,1997,2,2,13,42,-8,"42,-8",1997-02-02
"6 km N of Becerreá, Spain",3.6,10.0,42.918,-7.156,0,0,1997,1,29,1,42,-8,"42,-8",1997-01-29
"9 km WNW of Redondo, Portugal",3.6,10.0,38.685,-7.646,0,0,1997,1,19,12,38,-8,"38,-8",1997-01-19
"3 km E of Albox, Spain",3.5,10.0,37.383,-2.109,0,0,1997,1,12,8,37,-3,"37,-3",1997-01-12
"4 km N of Luso, Portugal",3.5,10.0,40.423,-8.384,0,0,1996,12,31,17,40,-9,"40,-9",1996-12-31
"0 km W of Atarfe, Spain",3.5,10.0,37.224,-3.693,0,0,1996,12,28,7,37,-4,"37,-4",1996-12-28
"4 km ENE of Alhaurín el Grande, Spain",3.5,70.0,36.652,-4.634,0,0,1996,12,27,3,36,-5,"36,-5",1996-12-27
"3 km S of Alfarnate, Spain",3.5,33.0,36.962,-4.267,0,0,1996,12,17,12,36,-5,"36,-5",1996-12-17
"9 km NE of Saint-Paul-de-Fenouillet, France",3.8,5.0,42.874,2.591,0,0,1996,12,16,11,42,2,"42,2",1996-12-16
"5 km WSW of Tournay, France",4.2,10.0,43.16,0.183,0,0,1996,12,12,14,43,0,"43,0",1996-12-12
"2 km WSW of Lestelle-Bétharram, France",3.6,10.0,43.121,-0.238,0,0,1996,11,29,1,43,-1,"43,-1",1996-11-29
"11 km SSW of El Ejido, Spain",3.5,10.0,36.673,-2.851,0,0,1996,11,18,14,36,-3,"36,-3",1996-11-18
"83 km WSW of Sagres, Portugal",3.5,33.0,36.705,-9.805,0,0,1996,11,18,7,36,-10,"36,-10",1996-11-18
"2 km W of Pierrefitte-Nestalas, France",3.6,10.0,42.964,-0.11,0,0,1996,11,13,8,42,-1,"42,-1",1996-11-13
"39 km WSW of Sagres, Portugal",3.7,10.0,36.834,-9.334,0,0,1996,11,13,5,36,-10,"36,-10",1996-11-13
"11 km N of Salas, Spain",3.9,10.0,43.512,-6.273,0,0,1996,10,29,19,43,-7,"43,-7",1996-10-29
"6 km WNW of O Incio, Spain",4.4,10.0,42.651,-7.43,0,0,1996,10,29,19,42,-8,"42,-8",1996-10-29
"3 km S of Bielsa, Spain",3.6,10.0,42.598,0.218,0,0,1996,10,26,12,42,0,"42,0",1996-10-26
"7 km SW of Puerto Lumbreras, Spain",3.9,10.0,37.519,-1.87,0,0,1996,10,22,18,37,-2,"37,-2",1996-10-22
"6 km SSW of Bárzana, Spain",4.1,10.0,43.104,-5.991,0,0,1996,10,12,23,43,-6,"43,-6",1996-10-12
"4 km ENE of Montaut, France",3.5,10.0,43.15,-0.152,0,0,1996,10,7,3,43,-1,"43,-1",1996-10-07
"2 km WNW of Saint-Pé-de-Bigorre, France",4.1,10.0,43.114,-0.183,0,0,1996,10,3,6,43,-1,"43,-1",1996-10-03
Pyrenees,3.5,10.0,42.349,2.703,0,0,1996,9,23,5,42,2,"42,2",1996-09-23
"79 km SW of Sagres, Portugal",3.9,10.0,36.61,-9.687,0,0,1996,9,7,2,36,-10,"36,-10",1996-09-07
"20 km NNW of ’Aïn Benian, Algeria",5.5,10.0,36.984,2.876,0,0,1996,9,4,4,36,2,"36,2",1996-09-04
"4 km E of Santo Isidoro, Portugal",3.6,10.0,38.996,-9.353,0,0,1996,9,4,4,38,-10,"38,-10",1996-09-04
"2 km NE of Cazalla, Spain",4.6,20.0,37.666,-1.645,0,0,1996,9,2,19,37,-2,"37,-2",1996-09-02
"8 km N of Hondarribia, Spain",3.9,10.0,43.44,-1.813,0,0,1996,8,24,14,43,-2,"43,-2",1996-08-24
"3 km SSE of Monterde de Albarracín, Spain",4.0,10.0,40.466,-1.475,0,0,1996,8,3,10,40,-2,"40,-2",1996-08-03
"4 km NE of Albarracín, Spain",3.7,10.0,40.431,-1.407,0,0,1996,8,3,2,40,-2,"40,-2",1996-08-03
"3 km N of Olula del Río, Spain",3.7,10.0,37.388,-2.3,0,0,1996,7,24,22,37,-3,"37,-3",1996-07-24
"12 km ENE of El Abadia, Algeria",3.7,10.0,36.328,1.811,0,0,1996,7,9,12,36,1,"36,1",1996-07-09
"6 km SSE of Allariz, Spain",3.7,10.0,42.133,-7.784,0,0,1996,7,2,7,42,-8,"42,-8",1996-07-02
"16 km S of El Ejido, Spain",3.9,10.0,36.625,-2.83,0,0,1996,6,20,1,36,-3,"36,-3",1996-06-20
"8 km NE of Valdepeñas de Jaén, Spain",3.7,10.0,37.642,-3.746,0,0,1996,5,17,18,37,-4,"37,-4",1996-05-17
"6 km SW of Espejo, Spain",4.0,10.0,37.645,-4.616,0,0,1996,5,6,16,37,-5,"37,-5",1996-05-06
"17 km ENE of Médéa, Algeria",4.0,33.0,36.313,2.943,0,0,1996,4,29,20,36,2,"36,2",1996-04-29
"10 km SW of Castro, Spain",3.6,10.0,42.698,-7.667,0,0,1996,4,25,17,42,-8,"42,-8",1996-04-25
"19 km SSW of El Ejido, Spain",3.7,10.0,36.608,-2.863,0,0,1996,4,24,18,36,-3,"36,-3",1996-04-24
"19 km S of El Ejido, Spain",4.0,10.0,36.601,-2.856,0,0,1996,4,24,16,36,-3,"36,-3",1996-04-24
"39 km NNW of Tipasa, Algeria",3.5,33.0,36.932,2.31,0,0,1996,4,23,4,36,2,"36,2",1996-04-23
"5 km E of Montemayor, Spain",4.2,5.3,37.648,-4.638,0,0,1996,4,17,18,37,-5,"37,-5",1996-04-17
"3 km E of Montemayor, Spain",4.0,10.0,37.644,-4.661,0,0,1996,4,16,22,37,-5,"37,-5",1996-04-16
"7 km SSW of Becerreá, Spain",3.5,10.0,42.79,-7.194,0,0,1996,4,4,16,42,-8,"42,-8",1996-04-04
"11 km NNW of Estagel, France",3.5,10.0,42.866,2.636,0,0,1996,3,30,18,42,2,"42,2",1996-03-30
"4 km NNE of Leucate, France",3.9,10.0,42.946,3.046,0,0,1996,3,29,11,42,3,"42,3",1996-03-29
"8 km NW of Estagel, France",3.6,10.0,42.83,2.625,0,0,1996,3,28,8,42,2,"42,2",1996-03-28
"8 km SE of Pliego, Spain",3.5,10.0,37.938,-1.434,0,0,1996,3,22,9,37,-2,"37,-2",1996-03-22
"4 km SE of Navarrenx, France",3.6,10.0,43.292,-0.723,0,0,1996,3,14,5,43,-1,"43,-1",1996-03-14
"2 km E of Goñi, Spain",3.9,10.0,42.848,-1.868,0,0,1996,2,25,10,42,-2,"42,-2",1996-02-25
"9 km WNW of Ighram, Algeria",3.9,10.0,36.508,4.414,0,0,1996,2,23,16,36,4,"36,4",1996-02-23
"8 km NE of Saint-Paul-de-Fenouillet, France",3.8,10.0,42.864,2.584,0,0,1996,2,20,12,42,2,"42,2",1996-02-20
"7 km NE of Saint-Paul-de-Fenouillet, France",3.8,10.0,42.862,2.567,0,0,1996,2,19,4,42,2,"42,2",1996-02-19
"6 km NE of Saint-Paul-de-Fenouillet, France",3.9,10.0,42.854,2.557,0,0,1996,2,18,15,42,2,"42,2",1996-02-18
"7 km ENE of Saint-Paul-de-Fenouillet, France",4.6,10.0,42.848,2.584,0,0,1996,2,18,2,42,2,"42,2",1996-02-18
"5 km ENE of Saint-Paul-de-Fenouillet, France",3.9,10.0,42.835,2.569,0,0,1996,2,18,2,42,2,"42,2",1996-02-18
"3 km NE of Saint-Paul-de-Fenouillet, France",4.7,10.0,42.828,2.533,0,0,1996,2,18,1,42,2,"42,2",1996-02-18
"15 km SSW of Évora, Portugal",3.5,10.0,38.439,-7.959,0,0,1996,2,14,9,38,-8,"38,-8",1996-02-14
"8 km SSW of Asson, France",3.8,10.0,43.075,-0.311,0,0,1996,2,1,5,43,-1,"43,-1",1996-02-01
"22 km NNW of María, Spain",3.7,5.0,37.903,-2.234,0,0,1996,1,27,10,37,-3,"37,-3",1996-01-27
"10 km ESE of Louvie-Juzon, France",3.5,10.0,43.043,-0.308,0,0,1996,1,24,15,43,-1,"43,-1",1996-01-24
"7 km NNW of Arthez-de-Béarn, France",3.9,10.0,43.525,-0.667,0,0,1996,1,17,14,43,-1,"43,-1",1996-01-17
"4 km NE of Arthez-de-Béarn, France",3.7,10.0,43.497,-0.574,0,0,1996,1,14,17,43,-1,"43,-1",1996-01-14
"6 km NE of Arthez-de-Béarn, France",3.5,10.0,43.501,-0.55,0,0,1996,1,14,15,43,-1,"43,-1",1996-01-14
"5 km NNE of Arthez-de-Béarn, France",3.9,10.0,43.513,-0.596,0,0,1996,1,14,12,43,-1,"43,-1",1996-01-14
"7 km N of Arthez-de-Béarn, France",3.9,10.0,43.533,-0.623,0,0,1996,1,14,12,43,-1,"43,-1",1996-01-14
"0 km SW of Tournay, France",3.5,10.0,43.182,0.241,0,0,1996,1,14,11,43,0,"43,0",1996-01-14
"1 km NW of Becerreá, Spain",3.7,10.0,42.865,-7.181,0,0,1996,1,9,16,42,-8,"42,-8",1996-01-09
"5 km W of Chimeneas, Spain",3.8,10.0,37.133,-3.885,0,0,1996,1,9,7,37,-4,"37,-4",1996-01-09
Pyrenees,3.9,10.0,43.197,-0.306,0,0,1996,1,6,3,43,-1,"43,-1",1996-01-06
"3 km SE of Bosdarros, France",4.3,10.0,43.189,-0.326,0,0,1996,1,6,2,43,-1,"43,-1",1996-01-06
"7 km SW of Asson, France",3.5,10.0,43.088,-0.311,0,0,1996,1,5,11,43,-1,"43,-1",1996-01-05
"7 km S of Asson, France",3.6,10.0,43.076,-0.261,0,0,1996,1,3,15,43,-1,"43,-1",1996-01-03
"12 km W of Laruns, France",3.5,10.0,42.97,-0.581,0,0,1996,1,1,2,42,-1,"42,-1",1996-01-01
"3 km SSW of Asson, France",3.8,5.0,43.109,-0.266,0,0,1995,12,31,16,43,-1,"43,-1",1995-12-31
"1 km SW of Bosdarros, France",3.5,5.0,43.204,-0.372,0,0,1995,12,31,15,43,-1,"43,-1",1995-12-31
"2 km E of O Páramo, Spain",4.0,10.0,42.95,-7.265,0,0,1995,12,24,18,42,-8,"42,-8",1995-12-24
"3 km WSW of San Román, Spain",3.5,10.0,42.856,-7.102,0,0,1995,12,24,17,42,-8,"42,-8",1995-12-24
"10 km W of Navia de Suarna, Spain",3.5,10.0,42.955,-7.131,0,0,1995,12,24,16,42,-8,"42,-8",1995-12-24
"0 km N of San Román, Spain",3.7,10.0,42.874,-7.063,0,0,1995,12,24,15,42,-8,"42,-8",1995-12-24
"8 km SW of Becerreá, Spain",3.8,10.0,42.795,-7.22,0,0,1995,12,24,14,42,-8,"42,-8",1995-12-24
"5 km NE of Baralla, Spain",5.1,10.0,42.936,-7.213,0,0,1995,12,24,14,42,-8,"42,-8",1995-12-24
"11 km NE of Baralla, Spain",3.8,10.0,42.963,-7.149,0,0,1995,12,24,11,42,-8,"42,-8",1995-12-24
"2 km S of Becerreá, Spain",3.7,10.0,42.833,-7.167,0,0,1995,12,22,17,42,-8,"42,-8",1995-12-22
"79 km NNE of Al Hoceïma, Morocco",3.6,10.0,35.936,-3.674,0,0,1995,12,11,7,35,-4,"35,-4",1995-12-11
"4 km NE of Campos del Río, Spain",3.6,10.0,38.066,-1.32,0,0,1995,12,6,10,38,-2,"38,-2",1995-12-06
"3 km WNW of San Román, Spain",3.5,10.0,42.877,-7.098,0,0,1995,12,1,7,42,-8,"42,-8",1995-12-01
"4 km NW of San Román, Spain",3.7,10.0,42.896,-7.104,0,0,1995,11,30,15,42,-8,"42,-8",1995-11-30
"12 km W of Navia de Suarna, Spain",3.5,10.0,42.978,-7.149,0,0,1995,11,30,4,42,-8,"42,-8",1995-11-30
"10 km N of Becerreá, Spain",3.6,10.0,42.952,-7.149,0,0,1995,11,30,2,42,-8,"42,-8",1995-11-30
"7 km NW of San Román, Spain",3.8,10.0,42.922,-7.127,0,0,1995,11,30,2,42,-8,"42,-8",1995-11-30
"9 km NNW of San Román, Spain",3.8,10.0,42.94,-7.121,0,0,1995,11,30,1,42,-8,"42,-8",1995-11-30
"12 km W of Navia de Suarna, Spain",3.6,10.0,42.98,-7.147,0,0,1995,11,30,1,42,-8,"42,-8",1995-11-30
Spain,3.6,10.0,42.792,-7.277,0,0,1995,11,30,0,42,-8,"42,-8",1995-11-30
"11 km N of Becerreá, Spain",3.6,10.0,42.959,-7.145,0,0,1995,11,30,0,42,-8,"42,-8",1995-11-30
"8 km NNE of Samos, Spain",3.6,10.0,42.794,-7.273,0,0,1995,11,30,0,42,-8,"42,-8",1995-11-30
"6 km SW of Becerreá, Spain",3.5,10.0,42.82,-7.232,0,0,1995,11,30,0,42,-8,"42,-8",1995-11-30
"5 km NE of Baralla, Spain",5.0,17.9,42.928,-7.204,0,0,1995,11,29,23,42,-8,"42,-8",1995-11-29
"1 km W of Molina de Segura, Spain",3.6,10.0,38.057,-1.228,0,0,1995,11,26,6,38,-2,"38,-2",1995-11-26
"0 km E of Ceuti, Spain",3.7,12.1,38.078,-1.266,0,0,1995,11,26,5,38,-2,"38,-2",1995-11-26
"2 km ENE of Laza, Spain",3.5,10.0,42.069,-7.436,0,0,1995,11,22,23,42,-8,"42,-8",1995-11-22
"43 km S of Carvoeiro, Portugal",3.6,10.0,36.713,-8.536,0,0,1995,11,18,18,36,-9,"36,-9",1995-11-18
"4 km W of Alfarnatejo, Spain",3.6,60.0,36.996,-4.308,0,0,1995,11,18,8,36,-5,"36,-5",1995-11-18
"3 km WSW of Gádor, Spain",4.0,10.0,36.941,-2.525,0,0,1995,11,18,0,36,-3,"36,-3",1995-11-18
"66 km SSW of Sagres, Portugal",4.2,20.0,36.436,-9.143,0,0,1995,11,17,18,36,-10,"36,-10",1995-11-17
"26 km ENE of Sidi Akkacha, Algeria",3.6,10.0,36.534,1.583,0,0,1995,11,15,4,36,1,"36,1",1995-11-15
"41 km S of Roquetas de Mar, Spain",3.7,5.0,36.388,-2.647,0,0,1995,11,13,19,36,-3,"36,-3",1995-11-13
"117 km ESE of Palamós, Spain",4.2,10.0,41.312,4.348,0,0,1995,11,12,21,41,4,"41,4",1995-11-12
"33 km S of Roquetas de Mar, Spain",3.9,18.5,36.464,-2.621,0,0,1995,11,10,17,36,-3,"36,-3",1995-11-10
"8 km ENE of Sidi ech Chahmi, Algeria",3.5,10.0,35.688,-0.438,0,0,1995,11,3,23,35,-1,"35,-1",1995-11-03
Strait of Gibraltar,3.5,10.0,36.441,-6.487,0,0,1995,10,29,4,36,-7,"36,-7",1995-10-29
"6 km NW of Porto Covo, Portugal",3.5,10.0,37.895,-8.837,0,0,1995,10,24,22,37,-9,"37,-9",1995-10-24
"19 km N of El Abadia, Algeria",3.7,10.0,36.445,1.655,0,0,1995,10,12,19,36,1,"36,1",1995-10-12
"10 km NE of Arhribs, Algeria",3.7,33.0,36.863,4.394,0,0,1995,10,10,1,36,4,"36,4",1995-10-10
"2 km NNE of Bosdarros, France",3.5,5.0,43.226,-0.349,0,0,1995,10,8,4,43,-1,"43,-1",1995-10-08
"5 km SSW of Cartelle, Spain",3.5,10.0,42.201,-8.089,0,0,1995,9,29,13,42,-9,"42,-9",1995-09-29
"20 km NE of Sidi Aïssa, Algeria",3.7,10.0,36.019,3.927,0,0,1995,9,26,17,36,3,"36,3",1995-09-26
"20 km SSE of Mostaganem, Algeria",3.9,10.0,35.773,0.213,0,0,1995,9,19,2,35,0,"35,0",1995-09-19
"101 km SSE of Sagres, Portugal",3.9,33.0,36.135,-8.608,0,0,1995,9,11,5,36,-9,"36,-9",1995-09-11
"50 km SW of Sagres, Portugal",3.7,33.0,36.735,-9.401,0,0,1995,9,8,8,36,-10,"36,-10",1995-09-08
"2 km SW of Tipasa, Algeria",3.6,10.0,36.575,2.43,0,0,1995,9,1,18,36,2,"36,2",1995-09-01
"2 km ESE of Frailes, Spain",3.6,16.2,37.477,-3.815,0,0,1995,7,11,18,37,-4,"37,-4",1995-07-11
"0 km SE of Bénéjacq, France",3.7,5.0,43.189,-0.209,0,0,1995,6,27,1,43,-1,"43,-1",1995-06-27
"5 km E of Níjar, Spain",4.1,10.0,36.968,-2.145,0,0,1995,6,7,16,36,-3,"36,-3",1995-06-07
"15 km SSW of Faro, Portugal",3.6,10.0,36.884,-7.961,0,0,1995,5,28,12,36,-8,"36,-8",1995-05-28
"35 km SSE of Torredembarra, Spain",4.4,10.0,40.858,1.596,0,0,1995,5,23,22,40,1,"40,1",1995-05-23
"37 km SSE of Coma-ruga, Spain",4.3,10.0,40.848,1.626,0,0,1995,5,15,15,40,1,"40,1",1995-05-15
"30 km SSE of Torredembarra, Spain",4.6,10.0,40.896,1.549,0,0,1995,5,15,15,40,1,"40,1",1995-05-15
"7 km N of Atarrabia, Spain",3.6,27.3,42.903,-1.596,0,0,1995,4,29,16,42,-2,"42,-2",1995-04-29
"37 km NNW of Luanco, Spain",3.7,10.0,43.922,-5.978,0,0,1995,4,25,16,43,-6,"43,-6",1995-04-25
"129 km SSW of Faro, Portugal",3.7,10.0,35.889,-8.3,0,0,1995,4,11,13,35,-9,"35,-9",1995-04-11
"10 km NW of Puente de Génave, Spain",3.5,10.0,38.416,-2.895,0,0,1995,4,11,6,38,-3,"38,-3",1995-04-11
"116 km SW of Sagres, Portugal",3.8,10.0,36.378,-9.979,0,0,1995,4,4,19,36,-10,"36,-10",1995-04-04
"4 km E of Tocha, Portugal",3.9,5.0,40.317,-8.696,0,0,1995,4,3,14,40,-9,"40,-9",1995-04-03
"84 km NW of Melilla, Spain",3.6,10.0,35.923,-3.46,0,0,1995,3,31,8,35,-4,"35,-4",1995-03-31
"5 km N of Cabeza la Vaca, Spain",3.7,10.0,38.13,-6.426,0,0,1995,3,30,15,38,-7,"38,-7",1995-03-30
"66 km SSE of San José, Spain",3.5,10.0,36.209,-1.832,0,0,1995,3,20,22,36,-2,"36,-2",1995-03-20
"2 km NW of Sorbas, Spain",3.9,10.0,37.11,-2.142,0,0,1995,3,18,13,37,-3,"37,-3",1995-03-18
"2 km SSW of Pinos Puente, Spain",3.7,10.0,37.233,-3.757,0,0,1995,3,17,14,37,-4,"37,-4",1995-03-17
"0 km WNW of Ríogordo, Spain",4.0,60.0,36.919,-4.303,0,0,1995,3,17,13,36,-5,"36,-5",1995-03-17
"33 km NNE of Cariño, Spain",4.4,10.0,43.999,-7.653,0,0,1995,3,15,19,43,-8,"43,-8",1995-03-15
"1 km N of Soumoulou, France",4.1,5.0,43.284,-0.193,0,0,1995,2,12,15,43,-1,"43,-1",1995-02-12
